"Member","Total VP","MANA VP","LAND VP","NAMES VP","Delegated VP","L1 Wearables VP","Rental VP","Has Delegated","Delegate","Has Delegators","Delegators Amount","Delegators","Avatar Preview"
"0x30b1f4bd5476906f38385b891f2c09973196b742","4,154","128","0","600","0","3,426","0","TRUE","0x0f051a642a1c4b2c268c7d6a83186159b149021b","FALSE","0","","https://wearable-preview.decentraland.org/?profile=0x30b1f4bd5476906f38385b891f2c09973196b742"
"0xd689478d44a438798ee0dc07657cce2135c0aef7","20,079","879","18,000","1,200","0","0","0","FALSE","","FALSE","0","","https://wearable-preview.decentraland.org/?profile=0xd689478d44a438798ee0dc07657cce2135c0aef7"
"0x862f109696d7121438642a78b3caa38f476db08b","2,836","2,736","0","100","0","0","0","TRUE","0x5e382071464a6f9ea29708a045983dc265b0d86d","FALSE","0","","https://wearable-preview.decentraland.org/?profile=0x862f109696d7121438642a78b3caa38f476db08b"
"0x598f8af1565003ae7456dac280a18ee826df7a2c","652,713","508","0","300","650,364","1,540","0","FALSE","","TRUE","10","0x9caf2f699d62ef9602f5fc95d7f646d3c8659875,0x9b04da63e17bfe3b966884439fe06318dbe03863,0x103b3a31c6732c8615161757c64d2c5ed7daad38,0x18c6d15ecaa60d92d38cc5b89cd3f65179d30c86,0x6a13c5edbe4f48507dcdcc28466d79b519b049b7,0xcdc61e1c068342d88cd9fb730414d9ef5ba5849e,0x91cfd8bdd7161a368c0804c09029a4760d4387e1,0xf69f0a71d49a0c2fe481bbb148cc99e6e02a8dbb,0x421075d4256422ad906de024571d3021c282a1be,0xb5c8f264daf84bac8fa382a9476d8672b533d7ec","https://wearable-preview.decentraland.org/?profile=0x598f8af1565003ae7456dac280a18ee826df7a2c"
"0xd2d950cea649feef4d6111c18adbd9a37b3a9f63","7,200","0","6,000","1,100","0","100","0","FALSE","","FALSE","0","","https://wearable-preview.decentraland.org/?profile=0xd2d950cea649feef4d6111c18adbd9a37b3a9f63"
"0x0a7e606eb21c80c28a005daeb5f3d99a40d6b154","564","134","0","400","0","30","0","FALSE","","FALSE","0","","https://wearable-preview.decentraland.org/?profile=0x0a7e606eb21c80c28a005daeb5f3d99a40d6b154"
"0xa5e2bb97de3c62ca06f1a2293eb7e01c114e9a49","3,665","0","0","1,300","0","2,365","0","FALSE","","FALSE","0","","https://wearable-preview.decentraland.org/?profile=0xa5e2bb97de3c62ca06f1a2293eb7e01c114e9a49"
"0xc534333a20799371c635b42991463b71c9b893de","0","0","0","0","0","0","0","FALSE","","FALSE","0","","https://wearable-preview.decentraland.org/?profile=0xc534333a20799371c635b42991463b71c9b893de"
"0x23be90335e79d3245615985d91f69814f98a0fab","12,265","49","0","200","0","12,016","0","FALSE","","FALSE","0","","https://wearable-preview.decentraland.org/?profile=0x23be90335e79d3245615985d91f69814f98a0fab"
"0x5e382071464a6f9ea29708a045983dc265b0d86d","15,633","197","0","600","14,836","0","0","FALSE","","TRUE","2","0x862f109696d7121438642a78b3caa38f476db08b,0x65475f8df6d93763fe50f13f7a3a20b54b5bb26f","https://wearable-preview.decentraland.org/?profile=0x5e382071464a6f9ea29708a045983dc265b0d86d"
